product_id,Category
3752,helmet
3762,soy sauce packet
3763,soy sauce packet
3771,tomato
3774,soda can
3776,door
3783,newspaper
3790,bracelet
3809,bracelet
3852,beef
3853,helmet
3854,tomato
3865,button
3928,playing card
3936,fridge
3945,floor
3959,truck
3978,thread
3987,needle
4006,shirt
4062,tomato
4079,helmet
4092,bag
4093,bracelet
4102,flowers
4104,thermometer
4119,deodorant
4131,deodorant
4162,bag
4170,button
4184,bag
4185,sand paper
4200,bracelet
4203,scotch tape
4210,fridge
4216,tomato
4218,tomato
4229,flowers
4230,tomato
4234,bracelet
4246,button
4268,air freshener
4270,soy sauce packet
4322,tomato
4382,floor
4409,air freshener
4431,needle
4461,thermometer
4476,shirt
4480,bracelet
4497,outlet
4526,bracelet
4528,deodorant
4540,soda can
4542,thread
4547,fridge
4549,door
4552,button
4554,truck
4560,desk
4562,truck
4565,bag
4569,button
4571,door
4572,tomato
4573,truck
4575,bag
4579,helmet
4586,soda can
4587,nail clippers
4590,helmet
4591,soy sauce packet
4592,flowers
4594,sand paper
4597,desk
4599,button
4600,ipod
4602,pants
4604,beef
4605,rubber duck
4607,tomato
4609,scotch tape
4610,newspaper
4619,face wash
4620,face wash
4621,door
4623,bracelet
4625,button
4631,face wash
4632,nail clippers
4637,thread
4638,ipod
4639,fridge
4640,helmet
4641,thermometer
4642,truck
4643,newspaper
4644,helmet
4645,credit card
4646,button
4647,truck
4648,rubber duck
4649,candy wrapper
4650,face wash
4653,air freshener
4654,outlet
4661,rubber duck
4662,fridge
4663,nail clippers
4664,nail clippers
4665,door
4666,truck
4667,truck
4668,face wash
4670,floor
4671,tomato
4672,deodorant
4675,newspaper
4680,pants
4681,button
4683,truck
4685,candy wrapper
4686,candy wrapper
4689,thermometer
4698,flowers
4703,door
4705,newspaper
4708,thermometer
4711,thermometer
4713,newspaper
4719,helmet
4723,newspaper
4737,helmet
4743,nail clippers
4750,helmet
4751,tomato
4753,thermometer
4754,soy sauce packet
4758,credit card
4759,newspaper
4764,nail clippers
4765,bracelet
4766,newspaper
4768,flowers
4771,bracelet
4772,bag
4775,pool stick
4778,pants
4781,tomato
4782,bracelet
4783,ipod
4785,scotch tape
4788,face wash
4793,face wash
4795,bracelet
4796,playing card
4807,floor
4808,deodorant
4809,pool stick
4810,desk
4817,truck
4819,fridge
4820,fridge
4826,thermometer
4829,desk
4831,newspaper
4833,hair brush
4834,deodorant
4838,newspaper
4841,pants
4846,button
4848,helmet
4851,bracelet
4852,scotch tape
4853,playing card
4854,soda can
4857,truck
4862,face wash
4865,pants
4866,button
4870,button
4874,bracelet
4878,newspaper
4879,book
4884,thermometer
